t, x, y, z
0.011328,0.87605,-0.062401,-1.3274
0.011406,0.73319,0.48209,-1.4652
0.011484,0.61784,0.98542,-1.4784
0.011563,0.49435,0.99169,-1.2899
0.011641,0.50221,0.58575,-1.1202
0.011719,0.56377,0.11011,-1.1957
0.011797,0.49163,-0.36468,-1.016
0.011875,0.46899,-0.40968,-0.88962
0.011953,0.54917,-0.24848,-0.72524
0.012031,0.68838,-0.12929,-0.44794
0.012109,0.87615,-0.12742,-0.14585
0.012187,1.1863,-0.31004,0.15306
0.012266,1.299,-0.70934,0.07288
0.012344,1.0916,-1.4246,-0.24792
0.012422,0.50033,-2.3976,-0.34578
0.0125,0.0053327,-3.0471,-0.035925
0.012578,-0.27777,-2.9645,0.10141
0.012656,-0.76014,-2.1624,-0.58818
0.012734,-0.84097,-1.5603,-0.36964
0.012812,-0.44046,-1.3875,0.33409
0.012891,-0.45112,-1.7435,0.35139
0.012969,-0.20189,-2.364,0.24184
0.013047,0.49678,-2.7995,0.23988
0.013125,0.88036,-2.6815,0.26635
0.013203,1.1068,-2.1826,0.12359
0.013281,0.99487,-1.8713,0.14323
0.013359,0.77632,-1.8145,0.32585
0.013438,0.65274,-1.9998,0.51437
0.013516,0.49771,-2.2177,0.47498
0.013594,0.3833,-2.3141,0.057443
0.013672,0.17645,-2.5455,-0.12087
0.01375,-0.02947,-2.8603,-0.010291
0.013828,-0.34625,-3.1947,-0.029657
0.013906,-0.38994,-3.3542,0.10263
0.013984,-0.048555,-3.2507,-0.012443
0.014062,0.17121,-3.2103,-0.22846
0.014141,0.38919,-3.4241,0.1408
0.014219,0.70896,-3.81,0.47021
0.014297,0.88999,-4.1814,0.16653
0.014375,0.91151,-4.4712,-0.10085
0.014453,0.8405,-4.4034,0.16316
0.014531,0.73282,-3.6862,0.17925
0.014609,0.30742,-2.56,-0.09842
0.014687,-0.1205,-1.7815,0.19881
0.014766,-0.33736,-1.445,0.66883
0.014844,-0.13846,-1.2908,0.62158
0.014922,0.27318,-1.1534,-0.1553
0.015,0.58435,-1.1621,-0.48293
0.015078,0.70316,-1.1403,0.11245
0.015156,0.3658,-0.72543,0.63262
0.015234,0.052952,-0.14567,0.66303
0.015313,-0.17925,0.31182,0.19244
0.015391,-0.70662,0.33137,-0.060624
0.015469,-1.301,0.029938,0.14669
0.015547,-1.7039,-0.3325,0.56536
0.015625,-1.8499,-0.30901,0.64385
0.015703,-1.4958,0.19141,0.49285
0.015781,-0.98243,0.8652,0.37375
0.015859,-0.48705,1.4636,0.45515
0.015937,-0.17205,1.4969,0.7593
0.016016,-0.031341,1.2027,0.98972
0.016094,-0.1059,0.81777,0.91188
0.016172,-0.12293,0.62907,0.4645
0.01625,-0.073067,0.63664,0.26158
0.016328,-0.41613,0.87035,-0.2003
0.016406,-0.99028,1.1019,-0.16644
0.016484,-1.4259,1.2172,0.12078
0.016562,-1.4579,1.2777,0.34475
0.016641,-1.2782,1.3771,-0.029844
0.016719,-0.88354,1.4156,-0.363
0.016797,-0.57106,1.1586,0.30658
0.016875,-0.32005,0.93032,0.69886
0.016953,0.05342,0.9029,0.58987
0.017031,0.20114,0.7926,-0.16494
0.017109,0.1104,0.36608,-0.29152
0.017188,-0.15306,-0.13566,0.023015
0.017266,-0.53757,-0.46722,0.63468
0.017344,-0.71205,-0.55366,0.7752
0.017422,-0.64525,-0.41211,0.27982
0.0175,-0.49996,-0.3643,0.092339
0.017578,-0.32323,-0.62242,-0.12705
